episode,step,reward
34,2,0.133572
34,3,0.105121
34,4,0.114283
34,5,0.131497
34,6,0.164637
34,7,0.014025
34,8,0.075347
34,9,0.207948
34,10,0.111639
34,11,0.105931
34,12,0.086810
34,13,0.197269
34,14,0.158926
34,15,0.043179
35,1,0.064902
35,2,0.098570
35,3,0.108952
35,4,0.147498
35,5,0.087378
35,6,0.107149
35,7,0.141017
35,8,0.068642
35,9,0.147264
35,10,0.097144
35,11,0.072631
35,12,0.041615
35,13,0.064902
35,14,0.215399
35,15,0.146016
36,1,0.014025
36,2,0.014025
36,3,0.075821
36,4,0.084567
36,5,0.134244
36,6,0.108952
36,7,0.113266
36,8,0.060682
36,9,0.126867
36,10,0.172877
36,11,0.099043
36,12,0.157761
36,13,0.041615
36,14,0.074803
36,15,0.033806
37,1,0.099043
37,2,0.107149
37,3,0.053782
37,4,0.094768
37,5,0.041615
37,6,0.017813
37,7,0.099043
37,8,0.093444
37,9,0.091448
37,10,0.010865
37,11,0.151202
37,12,0.103894
37,13,0.170473
37,14,0.069630
37,15,0.095008
38,1,0.164637
38,2,0.041615
38,3,0.090761
38,4,0.071644
38,5,0.108708
38,6,0.074782
38,7,0.010865
38,8,0.053828
38,9,0.007528
38,10,0.178806
38,11,0.106571
38,12,0.197302
38,13,0.058382
38,14,0.136571
38,15,0.053782
39,1,0.090445
39,2,0.086816
39,3,0.158803
39,4,0.030420
39,5,0.116922
39,6,0.098404
39,7,0.068656
39,8,0.058607
39,9,0.051465
39,10,0.057794
39,11,0.155832
39,12,0.105596
39,13,0.013491
39,14,0.114355
39,15,0.028837
40,1,0.098404
40,2,0.144722
40,3,0.094267
40,4,0.161466
40,5,0.086429
40,6,0.074782
40,7,0.200835
40,8,0.087852
40,9,0.152598
40,10,0.141966
40,11,0.155832
40,12,0.060682
40,13,0.144168
40,14,0.149006
40,15,0.151097
41,1,0.051465
41,2,0.151202
41,3,0.138215
41,4,0.103744
41,5,0.012811
41,6,0.133388
41,7,0.082665
41,8,0.148418
41,9,0.135736
41,10,0.076073
41,11,0.078570
41,12,0.060777
41,13,0.094375
41,14,0.014178
41,15,0.084623
42,1,0.064956
42,2,0.056789
42,3,0.142107
42,4,0.020119
42,5,0.054287
42,6,0.057429
42,7,0.009217
42,8,0.270526
42,9,0.164907
42,10,0.110199
42,11,0.064317
42,12,0.127109
42,13,0.073295
42,14,0.136261
42,15,0.134919
43,1,0.060682
43,2,0.162483
43,3,0.025623
43,4,0.056789
43,5,0.058152
43,6,0.121745
43,7,0.114058
43,8,0.051465
43,9,0.077647
43,10,0.072775
43,11,0.064956
43,12,0.109451
43,13,0.154067
43,14,0.125944
43,15,0.052920
44,1,0.163360
44,2,0.115253
44,3,0.036386
44,4,0.171482
44,5,0.056804
44,6,0.113172
44,7,0.064483
44,8,0.058021
44,9,0.105231
44,10,0.070347
44,11,0.060757
44,12,0.051465
44,13,0.088857
44,14,0.144397
44,15,0.078727
45,1,0.086656
45,2,0.017813
45,3,0.132766
45,4,0.053828
45,5,0.082475
45,6,0.064902
45,7,0.082973
45,8,0.113358
45,9,0.032235
45,10,0.057794
45,11,0.164637
45,12,0.130656
45,13,0.150768
45,14,0.139252
45,15,0.155401
46,1,0.017813
46,2,0.174994
46,3,0.091950
46,4,0.136893
46,5,0.029845
46,6,0.160417
46,7,0.056789
46,8,0.065549
46,9,0.058152
46,10,0.054996
46,11,0.114218
46,12,0.031838
46,13,0.101253
46,14,0.123489
46,15,0.109474
47,1,0.066705
47,2,0.054737
47,3,0.017959
47,4,0.124980
47,5,0.036839
47,6,0.118170
47,7,0.154373
47,8,0.070645
47,9,0.166815
47,10,0.081737
47,11,0.164637
47,12,0.130656
47,13,0.121648
47,14,0.094180
47,15,0.149462
48,1,0.151202
48,2,0.000000
48,3,0.010059
48,4,0.122434
48,5,0.082821
48,6,0.116367
48,7,0.153306
48,8,0.033806
48,9,0.136783
48,10,0.074808
48,11,0.031838
48,12,0.058607
48,13,0.118823
48,14,0.093732
48,15,0.034321
49,1,0.092595
49,2,0.172640
49,3,0.018954
49,4,0.094768
49,5,0.056675
49,6,0.072631
49,7,0.109268
49,8,0.138780
49,9,0.059736
49,10,0.014178
49,11,0.009217
49,12,0.109215
49,13,0.102929
49,14,0.131106
49,15,0.058382
50,1,0.108952
50,2,0.132629
50,3,0.078784
50,4,0.019729
50,5,0.176629
50,6,0.204974
50,7,0.090215
50,8,0.147165
50,9,0.085476
50,10,0.017199
50,11,0.164943
50,12,0.056955
50,13,0.159067
50,14,0.183600
50,15,0.057898
51,1,0.014025
51,2,0.060682
51,3,0.145339
51,4,0.197015
51,5,0.111114
51,6,0.165226
51,7,0.072009
51,8,0.017265
51,9,0.146644
51,10,0.076582
51,11,0.116367
51,12,0.111692
51,13,0.057488
51,14,0.085815
51,15,0.019144
52,1,0.164637
52,2,0.060682
52,3,0.101063
52,4,0.114296
52,5,0.121995
52,6,0.060757
52,7,0.083229
