episode,episodic_reward
647,1.703546
648,1.627054
649,1.512706
650,1.590356
651,1.563621
652,1.448442
653,1.510100
654,1.616862
655,1.581941
656,1.540264
657,1.572355
658,1.597805
659,1.617054
660,1.348843
661,1.517031
662,1.529679
663,1.488543
664,1.499477
665,1.404065
666,1.640475
667,1.559838
668,1.527820
669,1.376504
670,1.514105
671,1.367517
672,1.498395
673,1.480974
674,1.569803
675,1.572345
676,1.534947
677,1.550504
678,1.598250
679,1.528528
680,1.477558
681,1.528553
682,1.619768
683,1.439219
684,1.468522
685,1.592691
686,1.485877
687,1.662259
688,1.547280
689,1.665194
690,1.526240
691,1.581060
692,1.581081
693,1.394293
694,1.646444
695,1.609474
696,1.545465
697,1.458777
698,1.619409
699,1.609722
700,1.545705
701,1.644187
702,1.590078
703,1.788504
704,1.490038
705,1.682089
706,1.365134
707,1.461771
708,1.381615
709,1.610111
710,1.475444
711,1.485718
712,1.506573
713,1.618634
714,1.446583
715,1.462849
716,1.629062
717,1.612141
718,1.681795
719,1.549557
720,1.500701
721,1.595302
722,1.472344
723,1.552866
724,1.575349
725,1.693898
726,1.561066
727,1.483538
728,1.624575
729,1.484097
730,1.477422
731,1.606854
732,1.516870
733,1.582621
734,1.587802
735,1.533447
736,1.527180
737,1.406626
738,1.511371
739,1.594423
740,1.626446
741,1.494887
742,1.586847
743,1.498186
744,1.547034
745,1.561475
746,1.583786
747,1.683429
748,1.494992
749,1.530082
750,1.644707
751,1.603516
752,1.564230
753,1.612005
754,1.582202
755,1.496422
756,1.667021
757,1.501885
758,1.501911
759,1.479541
760,1.553880
761,1.642026
762,1.464000
763,1.541198
764,1.487586
765,1.531516
766,1.474434
767,1.657370
768,1.650505
769,1.528634
770,1.539995
771,1.410658
772,1.467991
773,1.494692
774,1.694394
775,1.613756
776,1.509568
777,1.634795
778,1.495669
779,1.634972
780,1.503521
781,1.543854
782,1.511980
783,1.453202
784,1.586919
785,1.525376
786,1.571564
787,1.459214
788,1.569370
789,1.505936
790,1.620572
791,1.529177
792,1.464110
793,1.455586
794,1.511552
795,1.480790
796,1.551614
797,1.522204
798,1.578476
799,1.583205
800,1.553269
801,1.610447
802,1.682756
803,1.410774
804,1.602567
805,1.572789
806,1.583579
807,1.733505
808,1.503802
809,1.595771
810,1.537340
811,1.630719
812,1.637602
813,1.565587
814,1.613109
815,1.539686
816,1.501893
817,1.529266
818,1.624371
819,1.628675
820,1.509125
821,1.539002
822,1.565532
823,1.577926
824,1.599058
825,1.432996
826,1.600320
827,1.536121
828,1.579280
829,1.548600
830,1.664092
831,1.572088
832,1.482160
833,1.309981
834,1.681679
835,1.679201
836,1.658407
837,1.656674
838,1.600847
839,1.542562
840,1.502722
841,1.592305
842,1.629392
843,1.760087
844,1.567497
845,1.639675
846,1.630110
847,1.558644
848,1.626830
849,1.529927
850,1.462893
851,1.539848
852,1.520610
853,1.612398
854,1.642190
855,1.625907
856,1.676257
857,1.393556
858,1.676234
859,1.421570
860,1.562638
861,1.624198
862,1.506656
863,1.512358
864,1.709171
865,1.644598
866,1.654544
867,1.671316
868,1.571087
869,1.498755
870,1.426613
871,1.669304
872,1.559852
873,1.495621
874,1.537746
875,1.466111
876,1.492809
877,1.548283
878,1.464774
879,1.679523
880,1.518603
881,1.700933
882,1.445627
883,1.546265
884,1.432342
885,1.660084
886,1.572454
887,1.477742
888,1.659834
889,1.506669
890,1.534616
891,1.735942
892,1.535666
893,1.472885
894,1.486406
895,1.463059
896,1.559780
897,1.538160
898,1.453962
