request_id,request_type,computation_delay,propagation_delay,transmission_delay,queueing_delay,total_latency
8589,pdd,0.003045,0.018250,0.018500,149.478027,39.794804
8580,p,0.003780,0.031450,0.020000,36.193604,55.229849
8581,pp,0.002838,0.011000,0.019200,75.970947,33.038325
8582,pp,0.002838,0.011000,0.018500,114.200195,32.338325
8583,pppp,0.002878,0.009400,0.019200,151.677490,31.477743
8584,dp,0.002464,0.014350,0.021500,178.562744,38.314344
8600,s,0.023128,0.011850,0.020000,13.255371,54.978351
8601,p,0.003780,0.004700,0.020000,37.005371,28.479849
8602,sp,0.018754,0.005300,0.022000,56.463135,46.053690
8603,p,0.003780,0.023100,0.022000,82.241699,48.879849
8604,dp,0.002464,0.008100,0.021500,107.810303,32.064344
8590,p,0.003780,0.076300,0.020000,29.896729,100.079849
8591,p,0.003780,0.038150,0.021500,50.711914,63.429849
8592,sp,0.018754,0.008200,0.020000,70.078613,46.953690
8593,ssp,0.018787,0.008050,0.019200,86.004395,46.037195
8594,dssp,0.002732,0.012850,0.020000,105.408447,35.581810
8595,s,0.023128,0.007650,0.018500,29.199707,49.278351
8596,ss,0.018821,0.008800,0.018500,45.322021,46.120769
8597,ss,0.018821,0.005000,0.022000,55.941162,45.820769
8598,dss,0.002842,0.004450,0.019200,65.993408,26.491615
8599,d,0.002385,0.011500,0.018500,80.805176,32.385393
8605,s,0.023128,0.005550,0.018500,13.750244,47.178351
8606,p,0.003780,0.025650,0.020000,34.678467,49.429849
8607,sp,0.018754,0.013100,0.020000,56.518066,51.853690
8608,dsp,0.002685,0.021550,0.021500,67.676270,45.734513
8609,pds,0.003022,0.015250,0.019200,97.374268,37.471933
8610,d,0.002385,0.012750,0.021500,14.429688,36.635393
8611,pd,0.002977,0.013650,0.018500,46.929443,35.127001
8612,dp,0.002464,0.016050,0.018500,75.979736,37.014344
8613,pdpd,0.002987,0.044750,0.018500,105.467529,66.236609
8614,s,0.023128,0.011300,0.018500,125.418457,52.928351
8615,s,0.023128,0.012800,0.018500,13.104492,54.428351
8616,d,0.002385,0.004450,0.020000,24.648438,26.835393
8617,ps,0.002840,0.020800,0.018500,52.646484,42.139786
8618,sp,0.018754,0.012550,0.019200,79.229004,50.503690
8619,ds,0.002343,0.007850,0.021500,96.075439,31.692513
8620,s,0.023128,0.010450,0.018500,12.678711,52.078351
8621,ps,0.002840,0.013250,0.020000,41.480225,36.089786
8622,p,0.003780,0.008050,0.018500,74.079346,30.329849
8623,dp,0.002464,0.019150,0.020000,108.482422,41.614344
