Iteration,Combination,Total Processing Time (sec),Total Execution Time (sec),Scripts Executed,Individual Processing Times,Individual Execution Times,Files Processed Per Script,First Image Pixels,First Audio Samples,Image Source Dir,Audio Source Dir,Peak RAM Usage (MB),Peak GPU Usage (%),Peak GPU Memory (MB),Average CPU Usage Per Core,Number of Cores Used,Average GPU Clock (MHz),Total RAM (GB),Total CPU Cores,Total GPU Memory (GB),CPU Model,GPU Model
1,sdps,0.04222159820647419,34.79258894920349,"Speech, Detect, Predict, Speech","0.018424, 0.002627, 0.002826, 0.018346","9.106, 7.136, 7.917, 10.634","54, 508, 508, 54",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12423.45703125,81,3261.9375,"32.8, 24.4, 31.3, 10.0, 6.2, 4.1, 10.6, 1.0, 30.1, 23.8, 15.4, 3.5, 10.9, 0.6, 1.5, 12.0, 49.9, 25.2, 23.0, 2.4, 1.5, 1.7, 0.5, 0.6, 25.7, 31.7, 6.5, 2.6, 16.5, 1.6, 2.3, 17.9",19,2712.051948051948,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,sdpd,0.026783888670166227,32.504013776779175,"Speech, Detect, Predict, Detect","0.018185, 0.002724, 0.003081, 0.002794","9.060, 7.427, 8.431, 7.586","54, 508, 508, 508",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12387.70703125,57,3261.9375,"39.4, 20.2, 19.4, 5.0, 6.0, 0.9, 0.2, 0.5, 38.4, 7.6, 4.5, 5.0, 9.5, 1.6, 2.2, 49.5, 56.0, 10.3, 53.1, 2.0, 2.2, 0.0, 0.5, 0.8, 52.5, 10.5, 0.9, 0.7, 9.8, 0.9, 1.7, 17.3",17,2711.1111111111113,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,sdpp,0.026761063502478855,34.460134506225586,"Speech, Detect, Predict, Predict","0.017811, 0.002638, 0.003123, 0.003189","10.450, 7.210, 8.328, 8.472","54, 508, 508, 508",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12495.03125,77,3261.9375,"29.4, 15.7, 17.0, 20.0, 3.8, 2.1, 2.4, 1.6, 23.6, 28.2, 27.0, 20.7, 5.3, 10.5, 3.1, 10.0, 32.6, 24.2, 57.6, 3.2, 5.4, 12.6, 1.7, 0.8, 7.5, 23.8, 13.4, 8.7, 0.5, 11.2, 1.2, 11.1",22,2759.1484716157206,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,spss,0.058575195100612425,37.095958948135376,"Speech, Predict, Speech, Speech","0.019039, 0.003177, 0.018597, 0.017761","10.061, 8.585, 9.666, 8.785","54, 508, 54, 54",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12470.87890625,81,3261.9375,"29.4, 8.7, 20.0, 1.6, 13.4, 10.4, 6.3, 1.4, 8.7, 1.0, 27.9, 24.5, 13.2, 9.2, 21.3, 14.0, 25.0, 11.5, 70.6, 1.8, 4.5, 10.0, 1.4, 0.6, 6.6, 3.0, 14.0, 4.3, 14.3, 0.9, 19.0, 30.1",22,2667.256097560976,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,spsd,0.043651741688538935,35.578505516052246,"Speech, Predict, Speech, Detect","0.018565, 0.003232, 0.018962, 0.002893","8.660, 8.702, 10.594, 7.623","54, 508, 54, 508",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12412.8046875,76,3261.9375,"7.0, 1.5, 36.1, 28.5, 2.7, 5.8, 4.3, 1.3, 4.8, 4.4, 8.7, 48.4, 13.3, 8.8, 25.8, 9.9, 3.4, 0.8, 50.5, 12.1, 0.6, 47.1, 7.9, 0.5, 4.8, 1.9, 0.9, 40.1, 20.0, 9.4, 2.0, 11.5",18,2711.1228813559323,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,spsp,0.042930068606007586,34.36677002906799,"Speech, Predict, Speech, Predict","0.018930, 0.002717, 0.018347, 0.002936","9.461, 7.654, 9.145, 8.107","54, 508, 54, 508",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12401.4765625,78,3262.25,"18.7, 12.6, 2.1, 0.1, 2.0, 5.9, 57.5, 9.1, 26.2, 3.9, 26.3, 28.4, 2.7, 10.1, 11.0, 4.5, 15.1, 10.0, 2.2, 1.5, 2.2, 26.8, 35.8, 19.3, 22.5, 2.6, 8.7, 35.5, 2.3, 8.8, 2.1, 6.2",20,2697.1052631578946,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,spds,0.04202539749198017,34.189412355422974,"Speech, Predict, Detect, Speech","0.018031, 0.003019, 0.002859, 0.018116","8.697, 8.308, 7.620, 9.564","54, 508, 508, 54",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12498.0390625,77,3262.25,"39.0, 53.2, 8.6, 4.7, 7.4, 3.9, 1.1, 3.7, 21.4, 3.1, 1.1, 10.5, 2.3, 3.6, 47.0, 6.8, 55.8, 20.3, 3.1, 1.0, 2.3, 8.0, 3.5, 7.2, 15.8, 14.5, 1.6, 12.3, 1.0, 4.2, 35.3, 22.7",17,2697.15859030837,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,spdd,0.026766471201516477,31.752946138381958,"Speech, Predict, Detect, Detect","0.018634, 0.002858, 0.002594, 0.002680","9.259, 7.950, 7.201, 7.342","54, 508, 508, 508",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12436.8203125,82,3262.25,"13.6, 13.8, 9.8, 5.9, 13.9, 4.8, 7.0, 13.8, 22.6, 39.7, 27.6, 16.1, 4.5, 3.8, 3.0, 5.7, 77.4, 9.2, 8.8, 3.2, 0.5, 6.4, 12.7, 14.6, 11.9, 23.2, 24.4, 8.2, 2.4, 1.8, 1.7, 12.3",23,2733.270142180095,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,spdp,0.02626750160396617,32.11462688446045,"Speech, Predict, Detect, Predict","0.017646, 0.002875, 0.002587, 0.003159","8.527, 8.034, 7.170, 8.385","54, 508, 508, 508",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12516.79296875,51,3262.25,"29.3, 14.3, 8.7, 7.2, 19.4, 9.1, 4.2, 0.6, 24.0, 16.3, 2.3, 3.9, 52.2, 2.4, 1.7, 3.7, 55.1, 11.6, 18.7, 3.4, 14.9, 10.4, 12.2, 1.0, 13.3, 0.2, 0.5, 1.4, 41.7, 0.2, 3.3, 36.3",18,2760.9813084112147,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
1,spps,0.04296517519685039,36.42505621910095,"Speech, Predict, Predict, Speech","0.018328, 0.003210, 0.003203, 0.018224","9.302, 8.577, 8.655, 9.891","54, 508, 508, 54",307200,82160,/home/jyoti/heterogeneous_edge/images/bear,/home/jyoti/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,12449.4375,83,3262.25,"21.9, 14.3, 15.5, 8.6, 2.7, 8.4, 33.3, 8.2, 24.7, 18.6, 3.0, 5.2, 1.5, 8.6, 14.6, 16.2, 43.6, 9.7, 10.2, 2.4, 1.0, 11.0, 25.3, 0.8, 30.2, 23.2, 1.7, 2.9, 24.8, 2.0, 24.4, 6.9",23,2732.4793388429753,30.453655242919922,32,15.9921875,AMD Ryzen 9 7950X 16-Core Processor,NVIDIA GeForce RTX 4080
