Iteration,Combination,Total Processing Time (sec),Total Execution Time (sec),Scripts Executed,Individual Processing Times,Individual Execution Times,Num Files Processed,First Image Pixels,First Audio Samples,Image Source Dir,Audio Source Dir,Peak RAM Usage (MB),Average CPU Usage Per Core,Number of Cores Used,Peak CPU Usage (%),Average CPU Clock (MHz),Total RAM (GB),Total CPU Cores,CPU Model,Device
1,spp,0.5822936397037037,125.69241237640381,"Speech, Predict, Predict","0.445549, 0.068362, 0.068383","31.439, 47.098, 47.155","54, 500, 500",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4617.203125,"52.3, 47.6, 59.3, 57.3, 52.4, 38.7, 71.9, 57.0, 40.8, 45.8, 41.6, 36.4, 41.1, 55.4, 21.5, 36.5",16,70.4,2.5303536610032364,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,dss,0.9423530274814815,97.76094055175781,"Detect, Speech, Speech","0.050350, 0.445378, 0.446625","31.965, 33.104, 32.692","500, 54, 54",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4627.91015625,"41.4, 42.9, 71.4, 50.0, 56.9, 44.8, 68.5, 49.0, 42.1, 39.9, 17.7, 39.6, 24.7, 38.9, 14.3, 33.0",16,70.0,2.374420997920998,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,dsd,0.5491576876296297,96.15699887275696,"Detect, Speech, Detect","0.050738, 0.447564, 0.050856","32.152, 31.786, 32.219","500, 54, 500",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4654.4140625,"35.6, 57.0, 65.4, 61.0, 73.3, 54.9, 71.2, 60.7, 53.6, 32.8, 33.3, 30.7, 15.7, 34.2, 17.4, 28.4",16,91.9,2.4623330696202532,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,dsp,0.5669031756296296,111.10221076011658,"Detect, Speech, Predict","0.050360, 0.448248, 0.068295","31.980, 32.072, 47.050","500, 54, 500",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4690.09375,"33.7, 55.4, 72.7, 41.1, 64.4, 58.7, 74.3, 52.6, 59.1, 36.4, 24.7, 54.8, 27.1, 33.0, 16.8, 39.0",16,69.1,2.5254283424908426,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,dds,0.5490771711111111,97.20285654067993,"Detect, Detect, Speech","0.051189, 0.050972, 0.446916","32.390, 32.271, 32.542","500, 500, 54",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4577.8125,"42.7, 43.9, 69.4, 56.5, 43.5, 46.4, 65.1, 77.0, 46.9, 44.9, 24.2, 40.0, 45.6, 42.9, 24.7, 11.4",16,63.4,2.436695981210856,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,ddd,0.15233612,96.56232595443726,"Detect, Detect, Detect","0.050914, 0.050576, 0.050845","32.264, 32.083, 32.215","500, 500, 500",286720,,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,3095.79296875,"47.4, 47.8, 62.2, 71.6, 61.9, 47.7, 76.0, 64.0, 46.7, 46.6, 37.7, 26.5, 32.1, 46.3, 18.0, 29.9",16,85.0,2.5584245010504203,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,ddp,0.169216696,111.13290143013,"Detect, Detect, Predict","0.050612, 0.050330, 0.068274","32.090, 31.940, 47.103","500, 500, 500",286720,,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,3295.859375,"41.8, 62.2, 65.3, 62.0, 55.4, 41.4, 76.8, 62.6, 54.6, 35.1, 37.8, 35.9, 39.9, 55.4, 20.4, 33.6",16,62.5,2.534045361060329,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,dps,0.5629239597777778,114.10280704498291,"Detect, Predict, Speech","0.051351, 0.068414, 0.443159","32.487, 47.148, 34.468","500, 500, 54",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4653.7578125,"55.1, 51.8, 64.3, 55.7, 48.4, 44.7, 69.2, 55.0, 35.0, 38.5, 32.7, 37.7, 42.1, 44.0, 19.8, 34.7",16,88.1,2.4721188725490197,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,dpd,0.170558352,111.67840623855591,"Detect, Predict, Detect","0.050995, 0.068469, 0.051094","32.316, 47.010, 32.352","500, 500, 500",286720,,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,3379.39453125,"50.0, 51.2, 63.4, 65.4, 61.3, 42.0, 71.2, 68.5, 46.9, 45.3, 37.1, 33.0, 34.3, 53.4, 24.7, 27.8",16,88.9,2.5695986363636365,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,dpp,0.18742273199999998,126.36851072311401,"Detect, Predict, Predict","0.050539, 0.068419, 0.068465","32.069, 47.115, 47.184","500, 500, 500",286720,,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,3304.18359375,"57.0, 38.3, 68.2, 62.1, 59.4, 89.9, 81.7, 61.1, 40.7, 58.2, 32.0, 38.9, 37.3, 6.2, 14.7, 36.1",16,66.7,2.5457712017684893,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,pss,0.9653076993333334,110.82544898986816,"Predict, Speech, Speech","0.068371, 0.447505, 0.449432","47.129, 31.997, 31.700","500, 54, 54",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4677.3515625,"45.5, 43.8, 64.4, 44.2, 42.1, 40.1, 62.3, 57.1, 42.3, 43.3, 33.4, 45.7, 44.1, 47.6, 24.4, 29.7",16,85.2,2.4361548165137616,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,psd,0.5619829864444444,114.42139077186584,"Predict, Speech, Detect","0.068041, 0.443253, 0.050689","46.924, 35.405, 32.092","500, 54, 500",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4646.43359375,"52.7, 33.1, 54.6, 26.9, 55.5, 54.9, 54.2, 68.8, 35.5, 55.2, 40.7, 63.8, 32.1, 33.5, 33.7, 18.8",16,82.7,2.485069271758437,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,psp,0.5853287170370369,125.96516156196594,"Predict, Speech, Predict","0.068165, 0.448721, 0.068443","47.006, 31.829, 47.130","500, 54, 500",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4654.44921875,"53.6, 55.6, 71.4, 47.3, 37.5, 69.0, 45.9, 59.6, 39.1, 38.6, 25.3, 50.1, 54.4, 23.5, 47.0, 33.0",16,67.0,2.5018711631663972,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,pds,0.5648257171111111,111.4917483329773,"Predict, Detect, Speech","0.068414, 0.051155, 0.445257","47.132, 32.392, 31.967","500, 500, 54",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4715.5234375,"63.3, 53.2, 52.2, 35.2, 46.5, 52.2, 45.2, 41.7, 31.0, 39.4, 47.7, 62.5, 45.4, 41.1, 46.6, 51.1",16,88.9,2.469588731751825,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,pdd,0.17014582,111.51253390312195,"Predict, Detect, Detect","0.068245, 0.050835, 0.051066","46.995, 32.198, 32.320","500, 500, 500",286720,,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,3288.140625,"64.1, 56.6, 49.4, 48.2, 42.1, 33.3, 65.3, 63.0, 33.5, 40.0, 51.6, 52.5, 55.7, 63.2, 31.4, 34.4",16,82.3,2.51406102003643,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,pdp,0.18767745200000002,126.55155515670776,"Predict, Detect, Predict","0.068422, 0.050727, 0.068528","47.121, 32.157, 47.274","500, 500, 500",286720,,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,3309.03125,"59.3, 42.9, 44.0, 61.2, 71.5, 56.5, 79.4, 60.5, 37.4, 53.0, 57.0, 38.5, 24.3, 39.4, 16.2, 36.1",16,92.5,2.5125938504823155,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,pps,0.5825662354074074,126.50501799583435,"Predict, Predict, Speech","0.068420, 0.068475, 0.445671","47.125, 47.126, 32.254","500, 500, 54",286720,112640,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,4568.0078125,"65.8, 35.9, 37.0, 56.0, 50.3, 36.0, 64.5, 60.3, 25.4, 55.4, 57.2, 40.8, 40.7, 55.0, 26.9, 31.0",16,63.4,2.5117004622186494,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
1,ppd,0.186872938,126.0962462425232,"Predict, Predict, Detect","0.068129, 0.068477, 0.050267","46.967, 47.222, 31.907","500, 500, 500",286720,,/home/jyoti/Desktop/heterogeneous_edge/datasets/coco/images/val2017,/home/jyoti/Desktop/heterogeneous_edge/test-clean/LibriSpeech/test-clean/1580/141083,3435.30078125,"64.2, 42.5, 67.5, 59.9, 60.5, 30.8, 77.0, 67.7, 33.2, 55.0, 34.0, 41.2, 36.8, 66.0, 20.3, 29.8",16,76.5,2.548314112903226,15.366962432861328,16,11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,CPU
