request_id,request_type,computation_delay,propagation_delay,transmission_delay,queueing_delay,total_latency
11459,pd,0.002977,0.028900,0.019200,68.190186,51.077001
11450,s,0.023128,0.004150,0.020000,6.348145,47.278351
11451,ps,0.002840,0.004550,0.022000,25.761719,29.389786
11452,d,0.002385,0.053750,0.018500,38.476318,74.635393
11453,sd,0.018668,0.050550,0.020000,46.554688,89.217773
11454,p,0.003780,0.003950,0.019200,66.463867,26.929849
11460,s,0.023128,0.006350,0.021500,6.381836,50.978351
11461,s,0.023128,0.009600,0.022000,14.491943,54.728351
11462,ss,0.018821,0.033400,0.018500,22.602051,70.720769
11463,ds,0.002343,0.013000,0.022000,30.727295,37.342513
11464,ss,0.018821,0.065750,0.018500,38.761963,103.070769
11465,p,0.003780,0.004200,0.020000,17.936523,27.979849
11466,p,0.003780,0.008250,0.022000,41.416748,34.029849
11467,pp,0.002838,0.006650,0.019200,64.697021,28.688325
11468,dpp,0.002514,0.013450,0.021500,77.574951,37.464416
11469,p,0.003780,0.005100,0.022000,97.369629,30.879849
11470,p,0.003780,0.011050,0.022000,18.777588,36.829849
11471,dp,0.002464,0.048900,0.018500,31.577637,69.864344
11472,dp,0.002464,0.006600,0.018500,39.599609,27.564344
11473,d,0.002385,0.018500,0.018500,47.503174,39.385393
11474,pdd,0.003045,0.015650,0.021500,66.525879,40.194804
11475,s,0.023128,0.004950,0.020000,23.054932,48.078351
11476,ds,0.002343,0.004700,0.019200,31.943848,26.242513
11477,dds,0.002685,0.007850,0.020000,39.849609,30.535273
11478,ds,0.002343,0.050350,0.022000,47.751465,74.692513
11479,ddd,0.002493,0.006200,0.022000,56.110107,30.693417
11480,s,0.023128,0.014150,0.022000,6.284668,59.278351
11481,ss,0.018821,0.004900,0.018500,14.229004,42.220769
11482,dss,0.002842,0.005100,0.020000,22.455566,27.941615
11483,s,0.023128,0.012750,0.020000,30.410400,55.878351
11484,sdss,0.018223,0.004750,0.019200,38.023193,42.172624
11490,s,0.023128,0.069150,0.022000,11.597656,114.278351
11491,p,0.003780,0.084000,0.020000,30.844238,107.779849
11492,p,0.003780,0.004100,0.018500,54.200195,26.379849
11493,sp,0.018754,0.004700,0.019200,66.968750,42.653690
11494,ps,0.002840,0.082350,0.020000,86.417236,105.189786
11485,s,0.023128,0.019200,0.020000,6.347412,62.328351
11486,s,0.023128,0.014350,0.019200,14.129395,56.678351
11487,s,0.023128,0.004650,0.018500,21.997314,46.278351
11488,ps,0.002840,0.009100,0.020000,42.381592,31.939786
11489,p,0.003780,0.005150,0.020000,68.334717,28.929849
11495,d,0.002385,0.004750,0.022000,23.606201,29.135393
11496,s,0.023128,0.058450,0.021500,32.238281,103.078351
11497,dd,0.002426,0.005400,0.022000,40.095703,29.825915
11498,ds,0.002343,0.061100,0.018500,48.049316,81.942513
11499,p,0.003780,0.005100,0.022000,67.277344,30.879849
11500,d,0.002385,0.050350,0.018500,21.411133,71.235393
11501,s,0.023128,0.005650,0.022000,30.152344,50.778351
11502,d,0.002385,0.010050,0.019200,37.969238,31.635393
11503,sd,0.018668,0.025100,0.021500,45.617188,65.267773
11504,ds,0.002343,0.006650,0.021500,53.578857,30.492513
11505,d,0.002385,0.047200,0.022000,7.045410,71.585393
11506,s,0.023128,0.015250,0.022000,15.705811,60.378351
11507,ps,0.002840,0.011500,0.019200,36.558594,33.539786
11508,dpd,0.002513,0.067850,0.022000,50.114990,92.362673
11509,s,0.023128,0.004550,0.021500,58.287354,49.178351
11510,d,0.002385,0.004250,0.022000,23.487793,28.635393
11511,s,0.023128,0.027500,0.021500,32.181152,72.128351
11512,dd,0.002426,0.004750,0.018500,40.052002,25.675915
11513,sd,0.018668,0.009850,0.022000,47.854980,50.517773
11514,s,0.023128,0.027850,0.019200,55.739502,70.178351
11515,p,0.003780,0.026950,0.022000,35.080566,52.729849
11516,d,0.002385,0.004350,0.020000,47.781982,26.735393
11517,pd,0.002977,0.006400,0.020000,67.068115,29.377001
11518,dp,0.002464,0.007250,0.018500,79.821777,28.214344
11519,sd,0.018668,0.075300,0.019200,88.070557,113.167773
11520,d,0.002385,0.034600,0.018500,10.710938,55.485393
11521,dd,0.002426,0.009600,0.018500,19.451416,30.525915
11522,ddd,0.002493,0.007050,0.021500,27.821045,31.043417
11523,s,0.023128,0.027900,0.021500,35.818115,72.528351
11524,dddd,0.002612,0.012650,0.021500,43.855957,36.761713
11525,p,0.003780,0.004500,0.020000,19.468018,28.279849
11526,p,0.003780,0.004150,0.022000,45.254150,29.929849
11527,dp,0.002464,0.004550,0.018500,57.667969,25.514344
11528,sdp,0.018492,0.005250,0.018500,65.366211,42.241971
11529,s,0.023128,0.007150,0.021500,72.939209,51.778351
11530,s,0.023128,0.008800,0.019200,6.353271,51.128351
11531,p,0.003780,0.057150,0.022000,25.634766,82.929849
11532,s,0.023128,0.004300,0.018500,37.835938,45.928351
11533,ds,0.002343,0.005150,0.019200,45.709717,26.692513
11534,ps,0.002840,0.011800,0.022000,64.821533,36.639786
11535,p,0.003780,0.004150,0.018500,35.906982,26.429849
11536,d,0.002385,0.062400,0.019200,49.899902,83.985393
11537,pdp,0.002932,0.039500,0.018500,70.302246,60.931683
11538,p,0.003780,0.005950,0.020000,94.552979,29.729849
11539,sp,0.018754,0.004500,0.021500,107.108643,44.753690
11540,p,0.003780,0.026150,0.021500,18.163330,51.429849
11541,d,0.002385,0.005100,0.019200,31.166992,26.685393
11542,sdp,0.018492,0.027000,0.019200,39.245605,64.691971
11543,d,0.002385,0.031850,0.019200,47.475830,53.435393
11544,sd,0.018668,0.011400,0.022000,55.228516,52.067773
11545,d,0.002385,0.005500,0.020000,23.399414,27.885393
11546,s,0.023128,0.029250,0.020000,31.962646,72.378351
11547,sd,0.018668,0.005250,0.019200,39.722412,43.117773
11548,ss,0.018821,0.045650,0.020000,47.487549,84.470769
11549,d,0.002385,0.013100,0.019200,55.683105,34.685393
11550,d,0.002385,0.004500,0.022000,7.035156,28.885393
11551,d,0.002385,0.017000,0.019200,15.281982,38.585393
11552,dd,0.002426,0.007500,0.021500,23.419678,31.425915
11553,pdd,0.003045,0.014550,0.018500,42.903564,36.094804
11554,s,0.023128,0.006700,0.019200,55.207275,49.028351
11555,d,0.002385,0.007650,0.020000,11.273193,30.035393
11556,d,0.002385,0.004450,0.019200,20.243408,26.035393
11557,dd,0.002426,0.014150,0.022000,29.635498,38.575915
11558,pd,0.002977,0.103400,0.022000,50.419189,128.377001
11559,p,0.003780,0.003950,0.018500,74.972168,26.229849
11560,d,0.002385,0.034250,0.020000,23.328857,56.635393
11561,d,0.002385,0.005000,0.018500,32.021484,25.885393
11562,dd,0.002426,0.004750,0.020000,39.935303,27.175915
11563,d,0.002385,0.023000,0.020000,47.898682,45.385393
11564,p,0.003780,0.004600,0.019200,67.041016,27.579849
11565,p,0.003780,0.100050,0.022000,19.672852,125.829849
11566,s,0.023128,0.004300,0.019200,34.214355,46.628351
11567,ss,0.018821,0.006350,0.022000,42.854492,47.170769
11568,pss,0.002833,0.008450,0.020000,63.604248,31.282709
11569,ss,0.018821,0.011050,0.018500,76.636963,48.370769
11575,s,0.023128,0.006750,0.020000,6.506836,49.878351
11576,p,0.003780,0.019500,0.020000,26.340820,43.279849
11577,p,0.003780,0.091500,0.022000,51.358643,117.279849
