episode,step,reward
37,14,0.081297
37,15,0.037502
38,1,0.151202
38,2,0.086034
38,3,0.058246
38,4,0.018171
38,5,0.068292
38,6,0.147413
38,7,0.086631
38,8,0.068292
38,9,0.017813
38,10,0.083635
38,11,0.083229
38,12,0.092748
38,13,0.072785
38,14,0.099588
38,15,0.083557
39,1,0.164637
39,2,0.043539
39,3,0.027978
39,4,0.072468
39,5,0.053782
39,6,0.014025
39,7,0.041615
39,8,0.027873
39,9,0.110397
39,10,0.069808
39,11,0.167831
39,12,0.108762
39,13,0.150821
39,14,0.122547
39,15,0.069856
40,1,0.133388
40,2,0.155086
40,3,0.024238
40,4,0.123202
40,5,0.119266
40,6,0.049142
40,7,0.201023
40,8,0.147134
40,9,0.122043
40,10,0.071359
40,11,0.104469
40,12,0.101785
40,13,0.073512
40,14,0.074756
40,15,0.140003
41,1,0.164637
41,2,0.143367
41,3,0.056411
41,4,0.089552
41,5,0.015368
41,6,0.041615
41,7,0.152753
41,8,0.086584
41,9,0.057794
41,10,0.086732
41,11,0.104469
41,12,0.145853
41,13,0.076765
41,14,0.014683
41,15,0.018763
42,1,0.160417
42,2,0.150442
42,3,0.012811
42,4,0.082334
42,5,0.127824
42,6,0.099043
42,7,0.060682
42,8,0.114066
42,9,0.194921
42,10,0.090486
42,11,0.014025
42,12,0.058607
42,13,0.057794
42,14,0.201791
42,15,0.185369
43,1,0.155832
43,2,0.075421
43,3,0.083126
43,4,0.091576
43,5,0.202399
43,6,0.118170
43,7,0.041615
43,8,0.240192
43,9,0.161362
43,10,0.128948
43,11,0.169635
43,12,0.124327
43,13,0.126224
43,14,0.069151
43,15,0.013417
44,1,0.106571
44,2,0.167833
44,3,0.104540
44,4,0.113045
44,5,0.089797
44,6,0.064956
44,7,0.215077
44,8,0.204560
44,9,0.251312
44,10,0.088770
44,11,0.137177
44,12,0.160723
44,13,0.148983
44,14,0.131378
44,15,0.017265
45,1,0.163360
45,2,0.053766
45,3,0.070994
45,4,0.163674
45,5,0.051465
45,6,0.051465
45,7,0.099223
45,8,0.198505
45,9,0.182762
45,10,0.088417
45,11,0.164637
45,12,0.076874
45,13,0.012811
45,14,0.108263
45,15,0.111326
46,1,0.017813
46,2,0.098404
46,3,0.082680
46,4,0.043518
46,5,0.104368
46,6,0.155832
46,7,0.151596
46,8,0.166199
46,9,0.109749
46,10,0.100911
46,11,0.049142
46,12,0.087851
46,13,0.086380
46,14,0.044108
46,15,0.072940
47,1,0.122390
47,2,0.014025
47,3,0.164171
47,4,0.146016
47,5,0.050903
47,6,0.106571
47,7,0.014178
47,8,0.075476
47,9,0.175317
47,10,0.075062
47,11,0.049142
47,12,0.119364
47,13,0.096049
47,14,0.111274
47,15,0.089440
48,1,0.113172
48,2,0.031838
48,3,0.167455
48,4,0.056804
48,5,0.163188
48,6,0.107149
48,7,0.158750
48,8,0.059638
48,9,0.110571
48,10,0.086186
48,11,0.049142
48,12,0.147004
48,13,0.129750
48,14,0.071396
48,15,0.134725
49,1,0.074782
49,2,0.061962
49,3,0.112041
49,4,0.134068
49,5,0.096477
49,6,0.216102
49,7,0.101120
49,8,0.108592
49,9,0.147125
49,10,0.145341
49,11,0.007528
49,12,0.105231
49,13,0.167031
49,14,0.162420
49,15,0.074334
50,1,0.028049
50,2,0.124379
50,3,0.081356
50,4,0.084317
50,5,0.070129
50,6,0.058607
50,7,0.164968
50,8,0.068502
50,9,0.112258
50,10,0.132504
50,11,0.107149
50,12,0.144227
50,13,0.070183
50,14,0.045978
50,15,0.112880
51,1,0.041615
51,2,0.148024
51,3,0.145858
51,4,0.113739
51,5,0.034321
51,6,0.072631
51,7,0.060682
51,8,0.147800
51,9,0.137470
51,10,0.036839
51,11,0.102929
51,12,0.086380
51,13,0.133301
51,14,0.014025
51,15,0.027885
52,1,0.102929
52,2,0.101155
52,3,0.083843
52,4,0.057429
52,5,0.130388
52,6,0.066705
52,7,0.195987
52,8,0.150232
52,9,0.057072
52,10,0.129732
52,11,0.083229
52,12,0.078570
52,13,0.116840
52,14,0.130567
52,15,0.170746
53,1,0.066705
53,2,0.164731
53,3,0.041615
53,4,0.091618
53,5,0.162122
53,6,0.106620
53,7,0.122727
53,8,0.071808
53,9,0.014683
53,10,0.081326
53,11,0.017813
53,12,0.133380
53,13,0.018954
53,14,0.201019
53,15,0.069174
54,1,0.049142
54,2,0.041615
54,3,0.133542
54,4,0.079149
54,5,0.111726
54,6,0.133388
54,7,0.086034
54,8,0.073612
54,9,0.071114
54,10,0.077835
54,11,0.049142
54,12,0.090153
54,13,0.057488
54,14,0.146442
54,15,0.128434
55,1,0.064317
55,2,0.127109
55,3,0.112707
55,4,0.122186
55,5,0.059471
55,6,0.064317
55,7,0.072631
55,8,0.100651
55,9,0.196820
55,10,0.142612
55,11,0.107149
55,12,0.101795
55,13,0.203405
55,14,0.067266
55,15,0.112032
56,1,0.173854
56,2,0.149597
56,3,0.125145
56,4,0.097822
56,5,0.092707
56,6,0.108952
56,7,0.090898
56,8,0.019162
56,9,0.141320
56,10,0.133958
56,11,0.104469
56,12,0.097681
56,13,0.084898
56,14,0.029374
56,15,0.022656
57,1,0.164637
57,2,0.103710
57,3,0.112255
57,4,0.045978
57,5,0.038087
57,6,0.112147
57,7,0.036839
57,8,0.090123
57,9,0.068775
57,10,0.053828
57,11,0.057429
57,12,0.031838
57,13,0.010059
57,14,0.017265
57,15,0.075328
58,1,0.017813
58,2,0.072631
58,3,0.142316
58,4,0.176119
58,5,0.113336
58,6,0.066705
58,7,0.158614
58,8,0.015166
58,9,0.143865
58,10,0.012811
58,11,0.216102
58,12,0.125654
58,13,0.122486
58,14,0.055640
58,15,0.065266
59,1,0.116367
59,2,0.148531
59,3,0.041615
59,4,0.033806
59,5,0.126616
59,6,0.066705
59,7,0.014025
59,8,0.129877
59,9,0.064907
59,10,0.123725
59,11,0.216102
59,12,0.012811
59,13,0.098770
59,14,0.125440
59,15,0.203236
60,1,0.113172
60,2,0.065549
60,3,0.171377
60,4,0.081880
60,5,0.087923
60,6,0.105931
60,7,0.191001
60,8,0.093991
60,9,0.043482
60,10,0.064219
60,11,0.102929
60,12,0.151056
60,13,0.117790
60,14,0.084362
60,15,0.125271
61,1,0.031838
61,2,0.068666
61,3,0.067064
61,4,0.181631
61,5,0.173820
61,6,0.107149
61,7,0.155998
61,8,0.151573
61,9,0.085415
61,10,0.117654
61,11,0.107149
61,12,0.142936
61,13,0.126616
61,14,0.128937
61,15,0.068063
62,1,0.113172
62,2,0.085620
62,3,0.071641
62,4,0.014064
62,5,0.121063
62,6,0.155832
62,7,0.146049
62,8,0.122520
62,9,0.127891
62,10,0.057643
62,11,0.225319
62,12,0.147134
62,13,0.247712
62,14,0.120458
62,15,0.169504
63,1,0.155832
63,2,0.128236
63,3,0.118166
63,4,0.170517
63,5,0.130625
63,6,0.106620
63,7,0.074751
63,8,0.123320
63,9,0.127528
63,10,0.148555
63,11,0.067599
63,12,0.074782
63,13,0.051465
63,14,0.047703
63,15,0.157652
64,1,0.225319
64,2,0.149597
64,3,0.147489
64,4,0.091596
64,5,0.155646
64,6,0.173854
64,7,0.196898
64,8,0.082034
64,9,0.056955
64,10,0.126551
64,11,0.059580
64,12,0.017813
64,13,0.061950
64,14,0.234123
64,15,0.114979
65,1,0.147413
65,2,0.148055
65,3,0.127266
65,4,0.105227
65,5,0.074549
65,6,0.009217
65,7,0.072631
65,8,0.142316
65,9,0.154061
65,10,0.131661
65,11,0.072631
65,12,0.109259
65,13,0.125364
65,14,0.025039
65,15,0.077901
66,1,0.204974
66,2,0.056409
66,3,0.188026
66,4,0.122383
66,5,0.151587
66,6,0.098404
66,7,0.149386
66,8,0.113961
66,9,0.066183
66,10,0.048450
66,11,0.140658
66,12,0.092071
66,13,0.122831
66,14,0.083229
66,15,0.043522
67,1,0.105931
67,2,0.127109
67,3,0.141544
67,4,0.125145
67,5,0.051465
67,6,0.108952
67,7,0.076874
67,8,0.098956
67,9,0.133040
67,10,0.120431
67,11,0.031838
67,12,0.060757
67,13,0.068292
67,14,0.079985
67,15,0.014525
68,1,0.072631
68,2,0.142316
68,3,0.180522
68,4,0.203411
68,5,0.099060
68,6,0.055685
68,7,0.167378
68,8,0.143307
68,9,0.145845
68,10,0.059638
68,11,0.140018
68,12,0.098762
68,13,0.130724
68,14,0.167341
68,15,0.064971
69,1,0.031838
69,2,0.133380
69,3,0.058382
69,4,0.146088
69,5,0.081287
69,6,0.055685
69,7,0.155998
69,8,0.150124
69,9,0.089546
69,10,0.091120
69,11,0.090445
69,12,0.138096
69,13,0.138948
69,14,0.160586
69,15,0.068387
70,1,0.051465
70,2,0.200199
70,3,0.162987
70,4,0.000000
70,5,0.102979
70,6,0.098404
70,7,0.130898
70,8,0.154938
70,9,0.075421
70,10,0.108826
70,11,0.028049
70,12,0.147237
70,13,0.046100
70,14,0.123001
70,15,0.099325
71,1,0.056789
71,2,0.041615
71,3,0.072631
71,4,0.103707
71,5,0.130879
71,6,0.164637
71,7,0.157492
71,8,0.138556
71,9,0.046741
71,10,0.121832
71,11,0.140018
71,12,0.150745
71,13,0.126031
71,14,0.121908
71,15,0.124296
72,1,0.119364
72,2,0.072257
72,3,0.086631
72,4,0.012836
72,5,0.090300
72,6,0.055685
72,7,0.140439
72,8,0.110594
72,9,0.078346
72,10,0.062358
72,11,0.072631
72,12,0.164943
72,13,0.099146
72,14,0.134278
72,15,0.113733
73,1,0.164637
73,2,0.136474
73,3,0.052724
73,4,0.141309
73,5,0.201784
73,6,0.148185
73,7,0.147004
73,8,0.132987
73,9,0.168672
73,10,0.048256
73,11,0.105931
73,12,0.068656
73,13,0.163865
73,14,0.098781
73,15,0.085896
74,1,0.107149
74,2,0.051465
74,3,0.089232
74,4,0.072009
74,5,0.130740
74,6,0.165226
74,7,0.078352
74,8,0.109973
74,9,0.072008
74,10,0.054993
74,11,0.106571
74,12,0.157662
74,13,0.133072
74,14,0.092064
74,15,0.134325
75,1,0.118170
75,2,0.154373
75,3,0.149969
75,4,0.108739
75,5,0.150891
75,6,0.088806
75,7,0.057488
75,8,0.068886
75,9,0.140563
75,10,0.057275
75,11,0.160417
75,12,0.077860
75,13,0.091089
75,14,0.128211
75,15,0.117152
76,1,0.155832
76,2,0.073758
76,3,0.113745
76,4,0.051415
76,5,0.056871
76,6,0.060682
76,7,0.196804
76,8,0.055685
76,9,0.143765
76,10,0.130921
76,11,0.090757
