Timestamp,Edge Device 1,Edge Device 2,Edge Device 3,Edge Device 4,Edge Device 5
1804010548,1,0,3,1,1
1804010549,0,1,3,1,1
1804010550,1,1,3,0,1
1804010551,0,1,3,0,1
1804010552,1,1,3,1,1
1804010553,1,1,3,1,1
1804010554,1,1,3,0,1
1804010555,1,1,3,1,1
1804010556,1,1,3,1,1
1804010557,1,1,3,0,1
1804010558,1,1,3,0,1
1804010559,1,1,3,1,1
1804010600,1,1,2,1,1
1804010601,0,1,2,1,1
1804010602,0,1,2,1,1
1804010603,0,1,2,1,1
1804010604,0,1,2,1,1
1804010605,1,1,2,1,1
1804010606,1,1,2,1,1
1804010607,0,1,2,1,1
1804010608,0,1,2,1,1
1804010609,0,1,2,1,1
1804010610,0,1,2,1,1
1804010611,0,1,2,1,1
1804010612,0,1,2,1,2
1804010613,1,1,2,1,2
1804010614,1,1,2,1,2
1804010615,1,1,2,1,2
1804010616,1,1,2,1,2
1804010617,1,1,2,1,2
1804010618,1,1,2,1,1
1804010619,1,1,2,1,1
1804010620,1,1,2,1,1
1804010621,1,1,2,1,1
1804010622,1,1,2,1,1
1804010623,1,1,2,1,1
1804010624,1,1,2,1,2
1804010625,1,1,3,1,2
1804010626,1,1,2,1,2
1804010627,1,1,3,1,2
1804010628,1,1,3,1,2
1804010629,1,1,3,1,2
1804010630,1,1,3,1,2
1804010631,1,1,2,1,1
1804010632,1,1,2,1,1
1804010633,1,1,3,1,2
1804010634,1,1,3,1,2
1804010635,1,1,3,1,2
1804010636,1,1,3,1,1
1804010637,1,1,4,1,1
1804010638,1,1,3,1,1
1804010639,1,1,3,1,1
1804010640,1,1,3,1,1
1804010641,1,1,3,1,1
1804010642,1,1,3,1,1
1804010643,1,1,3,1,2
1804010644,1,1,3,1,2
1804010645,1,1,3,1,2
1804010646,1,1,3,1,2
1804010647,1,1,3,1,1
1804010648,1,1,3,1,1
1804010649,1,1,3,0,1
1804010650,1,1,3,0,1
1804010651,0,1,3,1,2
1804010652,0,1,3,1,2
1804010653,1,1,4,1,2
1804010654,1,1,3,1,2
1804010655,1,1,3,1,2
1804010656,1,1,3,1,2
1804010657,1,1,3,1,1
1804010658,1,1,3,1,1
1804010659,1,1,3,1,1
1804010700,1,1,3,1,1
1804010701,1,1,3,1,2
1804010702,1,1,3,1,2
1804010703,1,1,3,1,2
1804010704,1,1,3,1,3
1804010705,1,1,3,1,3
1804010706,2,1,3,1,2
1804010707,2,1,3,1,1
1804010708,2,1,3,1,1
1804010709,2,1,3,1,1
1804010710,1,2,3,1,1
1804010711,1,2,4,1,1
1804010712,1,2,3,1,1
1804010713,2,2,3,1,1
1804010714,2,2,3,1,1
1804010715,1,2,3,1,1
1804010716,1,2,3,1,1
1804010717,1,2,3,1,1
1804010718,1,2,3,1,1
1804010719,1,2,3,1,1
1804010720,1,2,3,1,1
1804010721,1,2,3,1,1
1804010722,1,2,3,1,1
1804010723,1,2,3,1,1
1804010724,1,2,3,1,1
1804010725,2,2,3,1,1
1804010726,1,2,3,2,1
1804010727,2,2,3,2,1
1804010728,1,2,4,1,1
1804010729,1,2,3,1,1
1804010730,2,2,3,2,1
1804010731,1,2,3,2,1
1804010732,2,2,3,1,1
1804010733,2,2,3,2,1
1804010734,2,2,3,2,1
1804010735,2,2,3,2,2
1804010736,2,2,3,2,2
1804010737,2,2,3,2,2
1804010738,1,2,3,2,2
1804010739,2,2,3,2,2
1804010740,1,2,3,2,2
1804010741,1,2,3,2,2
1804010742,1,2,3,2,3
1804010743,1,2,3,2,3
1804010744,1,2,3,2,3
1804010745,1,2,3,2,3
1804010746,1,2,3,2,3
1804010747,1,2,3,2,2
1804010748,1,2,3,2,2
1804010749,1,2,3,2,1
1804010750,1,2,3,2,1
1804010751,1,2,3,2,1
1804010752,1,2,3,2,1
1804010753,1,2,3,2,1
1804010754,2,2,3,2,1
1804010755,2,2,3,2,1
1804010756,2,2,3,2,1
1804010757,1,2,3,2,1
1804010758,1,2,3,2,1
1804010759,1,2,3,2,1
1804010800,2,2,3,2,1
1804010801,2,2,3,2,1
1804010802,2,2,3,2,1
1804010803,2,2,4,2,1
1804010804,1,2,3,2,1
1804010805,2,2,3,2,1
1804010806,2,2,3,2,1
1804010807,2,2,3,2,1
1804010808,2,2,3,2,1
1804010809,2,2,3,2,1
1804010810,2,2,3,2,1
1804010811,2,2,3,2,1
1804010812,2,2,3,2,1
1804010813,2,2,3,2,1
1804010814,2,2,4,2,0
1804010815,2,2,4,2,0
1804010816,2,2,4,2,0
1804010817,2,2,4,2,0
1804010818,2,2,4,2,0
1804010819,3,2,4,2,0
1804010820,2,2,3,2,0
1804010821,2,2,4,2,0
1804010822,2,2,4,2,0
1804010823,2,2,4,2,0
1804010824,2,2,4,2,2
1804010825,3,2,4,2,1
1804010826,3,2,4,2,1
1804010827,2,2,3,2,1
1804010828,3,2,4,2,1
1804010829,2,2,4,2,1
1804010830,2,2,3,3,1
1804010831,2,2,3,2,0
1804010832,2,2,3,2,0
1804010833,3,2,3,2,0
1804010834,3,2,4,2,0
1804010835,2,2,3,2,1
1804010836,2,2,4,2,1
1804010837,2,2,3,3,1
1804010838,3,2,3,3,1
1804010839,2,2,3,3,1
1804010840,2,2,3,2,1
1804010841,2,2,3,2,0
1804010842,2,2,3,2,0
1804010843,2,2,3,3,0
1804010844,2,2,3,3,0
1804010845,2,2,3,3,0
1804010846,2,2,3,3,0
1804010847,2,2,3,3,0
1804010848,2,2,3,3,0
1804010849,2,2,3,3,0
1804010850,2,2,3,3,0
1804010851,2,2,4,3,0
1804010852,2,2,4,3,0
1804010853,3,2,4,3,0
1804010854,2,2,3,3,0
1804010855,2,2,3,3,1
1804010856,2,2,4,3,1
1804010857,2,2,4,3,2
1804010858,2,2,4,3,2
1804010859,2,2,4,3,2
1804010900,2,3,4,3,2
1804010901,2,3,4,4,2
1804010902,2,3,3,4,2
1804010903,2,3,3,4,2
1804010904,2,3,3,3,0
1804010905,2,3,3,3,0
1804010906,2,3,3,3,0
1804010907,2,3,3,3,0
1804010908,2,3,2,3,2
1804010909,2,3,2,3,2
1804010910,2,3,3,4,2
1804010911,2,3,3,4,2
1804010912,2,3,3,4,2
1804010913,2,3,3,4,2
1804010914,2,3,3,3,3
1804010915,2,3,3,3,2
1804010916,2,3,3,3,2
1804010917,2,3,3,3,2
1804010918,2,3,3,3,1
1804010919,3,3,3,3,0
1804010920,2,3,3,3,0
1804010921,2,3,3,3,0
1804010922,2,3,3,2,0
1804010923,2,3,3,3,1
1804010924,2,3,3,3,2
1804010925,2,3,3,3,2
1804010926,2,3,3,3,1
1804010927,2,3,3,3,1
1804010928,2,3,3,3,1
1804010929,1,3,3,3,1
1804010930,2,3,3,3,2
1804010931,2,3,3,3,2
1804010932,2,3,3,3,2
1804010933,2,3,3,3,2
1804010934,2,3,3,3,2
1804010935,2,3,3,3,2
1804010936,2,3,3,3,2
1804010937,2,3,3,3,1
1804010938,2,3,3,3,1
1804010939,3,3,3,3,1
1804010940,3,3,2,3,1
1804010941,2,3,2,3,2
1804010942,2,3,2,3,2
1804010943,2,3,3,3,3
1804010944,2,3,2,3,3
1804010945,2,3,2,3,3
1804010946,2,3,2,3,4
1804010947,2,3,2,3,3
1804010948,2,3,2,3,1
1804010949,2,3,2,3,1
1804010950,2,3,3,3,1
1804010951,2,3,3,3,1
1804010952,1,3,3,3,1
1804010953,1,3,3,3,1
1804010954,1,3,3,3,2
1804010955,1,3,3,3,2
1804010956,1,3,3,3,3
1804010957,1,3,3,3,3
1804010958,1,3,3,3,3
1804010959,2,3,3,3,3
1804011000,2,3,3,3,2
1804011001,2,3,3,3,2
1804011002,2,3,3,3,3
1804011003,1,3,3,3,2
1804011004,1,3,3,4,1
1804011005,2,3,3,3,1
1804011006,2,3,3,3,1
1804011007,2,3,3,3,1
1804011008,1,3,3,3,1
1804011009,2,3,3,3,1
1804011010,2,3,3,3,1
1804011011,2,3,2,3,2
1804011012,1,3,2,3,2
1804011013,1,3,2,3,2
1804011014,2,3,2,3,2
1804011015,1,3,2,3,1
1804011016,2,3,2,3,1
1804011017,2,3,3,3,1
1804011018,2,3,2,3,1
1804011019,1,3,3,4,1
1804011020,1,3,2,4,2
1804011021,1,3,2,4,2
1804011022,1,3,3,4,1
1804011023,1,3,3,4,2
1804011024,1,3,3,3,3
1804011025,1,3,3,3,3
1804011026,1,3,3,3,3
1804011027,2,3,3,4,2
1804011028,1,3,2,4,2
1804011029,1,3,2,4,0
1804011030,1,3,2,4,1
1804011031,0,3,3,4,1
1804011032,1,3,3,4,1
1804011033,0,3,2,4,1
1804011034,0,3,2,4,1
1804011035,0,3,2,4,1
1804011036,0,3,2,3,1
1804011037,0,3,2,4,0
1804011038,0,3,2,3,1
1804011039,0,3,2,3,1
1804011040,0,3,3,3,1
1804011041,1,3,3,3,1
1804011042,1,3,2,3,1
1804011043,1,3,2,3,0
1804011044,1,3,2,3,0
1804011045,0,3,2,3,0
1804011046,1,3,2,3,1
1804011047,1,3,2,3,1
1804011048,1,3,3,3,1
1804011049,1,3,3,3,3
1804011050,1,3,3,3,3
1804011051,1,3,3,3,3
1804011052,1,3,2,3,2
1804011053,1,3,2,3,2
1804011054,1,3,2,3,1
1804011055,1,3,2,3,1
