episode,step,reward
72,10,0.059425
72,11,0.160417
72,12,0.043539
72,13,0.164731
72,14,0.078453
72,15,0.045197
73,1,0.083229
73,2,0.075140
73,3,0.091288
73,4,0.180887
73,5,0.145780
73,6,0.049142
73,7,0.036386
73,8,0.014025
73,9,0.029457
73,10,0.142130
73,11,0.122390
73,12,0.140184
73,13,0.072773
73,14,0.015166
73,15,0.125703
74,1,0.118170
74,2,0.012811
74,3,0.147250
74,4,0.157310
74,5,0.066372
74,6,0.106571
74,7,0.191848
74,8,0.255086
74,9,0.162628
74,10,0.111272
74,11,0.163360
74,12,0.058152
74,13,0.193561
74,14,0.016666
74,15,0.111746
75,1,0.147413
75,2,0.061950
75,3,0.082665
75,4,0.078992
75,5,0.081683
75,6,0.041615
75,7,0.057488
75,8,0.092595
75,9,0.117293
75,10,0.054993
75,11,0.163360
75,12,0.098023
75,13,0.142414
75,14,0.063864
75,15,0.080380
76,1,0.133388
76,2,0.086105
76,3,0.126242
76,4,0.104952
76,5,0.114574
76,6,0.147413
76,7,0.148055
76,8,0.144975
76,9,0.070097
76,10,0.019162
76,11,0.112147
76,12,0.088735
76,13,0.058233
76,14,0.012768
76,15,0.057429
77,1,0.090757
77,2,0.181830
77,3,0.037522
77,4,0.101952
77,5,0.144206
77,6,0.116367
77,7,0.192837
77,8,0.111417
77,9,0.242425
77,10,0.089902
77,11,0.066705
77,12,0.103972
77,13,0.071037
77,14,0.079179
77,15,0.076094
78,1,0.148185
78,2,0.147004
78,3,0.139889
78,4,0.126898
78,5,0.056194
78,6,0.092595
78,7,0.191617
78,8,0.030099
78,9,0.036839
78,10,0.170884
78,11,0.106571
78,12,0.148540
78,13,0.110843
78,14,0.116471
78,15,0.086972
79,1,0.064956
79,2,0.134362
79,3,0.010059
79,4,0.125227
79,5,0.160848
79,6,0.031838
79,7,0.153249
79,8,0.132119
79,9,0.072678
79,10,0.148845
79,11,0.072631
79,12,0.049142
79,13,0.178702
79,14,0.012811
79,15,0.053782
80,1,0.114218
80,2,0.041615
80,3,0.036386
80,4,0.117553
80,5,0.153432
80,6,0.113172
80,7,0.007528
80,8,0.098570
80,9,0.099636
80,10,0.067612
80,11,0.165226
80,12,0.135200
80,13,0.000000
80,14,0.135455
80,15,0.116353
81,1,0.014025
81,2,0.164637
81,3,0.075347
81,4,0.012228
81,5,0.151269
81,6,0.055685
81,7,0.067807
81,8,0.118108
81,9,0.148459
81,10,0.024238
81,11,0.106571
81,12,0.148535
81,13,0.199285
81,14,0.165827
81,15,0.193599
82,1,0.121745
82,2,0.056409
82,3,0.141381
82,4,0.128754
82,5,0.152176
82,6,0.197447
82,7,0.099485
82,8,0.145420
82,9,0.023562
82,10,0.137494
82,11,0.118170
82,12,0.085896
82,13,0.070816
82,14,0.110329
82,15,0.052962
83,1,0.118170
83,2,0.199052
83,3,0.135817
83,4,0.066298
83,5,0.053531
83,6,0.173854
83,7,0.029191
83,8,0.094860
83,9,0.010865
83,10,0.032389
83,11,0.106571
83,12,0.033806
83,13,0.116047
83,14,0.149584
83,15,0.101223
84,1,0.051465
84,2,0.051465
84,3,0.114218
84,4,0.201039
84,5,0.093470
84,6,0.055685
84,7,0.060682
84,8,0.073773
84,9,0.211668
84,10,0.194102
84,11,0.092595
84,12,0.097565
84,13,0.108700
84,14,0.057035
84,15,0.148657
85,1,0.108952
85,2,0.051465
85,3,0.091382
85,4,0.022871
85,5,0.141318
85,6,0.122390
85,7,0.043215
85,8,0.112813
85,9,0.028087
85,10,0.132481
85,11,0.147413
85,12,0.057794
85,13,0.136813
85,14,0.091550
85,15,0.040021
86,1,0.113172
86,2,0.173495
86,3,0.057968
86,4,0.094823
86,5,0.135509
86,6,0.147413
86,7,0.038055
86,8,0.149971
86,9,0.141700
86,10,0.159692
86,11,0.064317
86,12,0.058152
86,13,0.058607
86,14,0.144995
86,15,0.131568
87,1,0.078570
87,2,0.041615
87,3,0.111316
87,4,0.073266
87,5,0.014025
87,6,0.045863
87,7,0.021729
87,8,0.033226
87,9,0.060757
87,10,0.076383
87,11,0.102929
87,12,0.124327
87,13,0.191813
87,14,0.138641
87,15,0.162458
88,1,0.122390
88,2,0.215742
88,3,0.181225
88,4,0.179292
88,5,0.146672
88,6,0.164637
88,7,0.144002
88,8,0.114968
88,9,0.090153
88,10,0.200280
88,11,0.147413
88,12,0.130242
88,13,0.075590
88,14,0.014525
88,15,0.156287
89,1,0.164637
89,2,0.049142
89,3,0.056409
89,4,0.127600
89,5,0.049773
89,6,0.064902
89,7,0.210735
89,8,0.101253
89,9,0.140324
89,10,0.013491
89,11,0.140018
89,12,0.009217
89,13,0.114359
89,14,0.014025
89,15,0.056631
90,1,0.098404
90,2,0.141287
90,3,0.103091
90,4,0.066366
90,5,0.095876
90,6,0.216102
90,7,0.102387
90,8,0.181810
90,9,0.073678
90,10,0.181765
90,11,0.064956
90,12,0.199656
90,13,0.149003
90,14,0.198517
90,15,0.092278
91,1,0.009217
91,2,0.098404
91,3,0.108336
91,4,0.128073
91,5,0.069326
91,6,0.041615
91,7,0.201023
91,8,0.151815
91,9,0.070385
91,10,0.158893
91,11,0.076420
91,12,0.074782
91,13,0.088073
91,14,0.026253
91,15,0.053828
92,1,0.090445
92,2,0.060757
92,3,0.103894
92,4,0.058329
92,5,0.110415
92,6,0.197447
92,7,0.128236
92,8,0.094809
92,9,0.093249
92,10,0.017926
92,11,0.119364
92,12,0.196700
92,13,0.088666
92,14,0.057346
92,15,0.162070
93,1,0.041615
93,2,0.122390
93,3,0.198205
93,4,0.054737
93,5,0.182305
93,6,0.199656
93,7,0.131155
93,8,0.160636
93,9,0.167981
93,10,0.063552
93,11,0.114218
93,12,0.159800
93,13,0.036839
93,14,0.090101
93,15,0.137241
94,1,0.147546
94,2,0.054478
94,3,0.181452
94,4,0.195338
94,5,0.120868
94,6,0.099043
94,7,0.148540
94,8,0.086105
94,9,0.139335
94,10,0.131286
94,11,0.116367
94,12,0.192837
94,13,0.056804
94,14,0.130291
94,15,0.047146
95,1,0.216102
95,2,0.057581
95,3,0.193377
95,4,0.186626
95,5,0.147375
95,6,0.165226
95,7,0.084461
95,8,0.138578
95,9,0.139632
95,10,0.073119
95,11,0.057488
95,12,0.060682
95,13,0.193264
95,14,0.091231
95,15,0.201684
96,1,0.164637
96,2,0.012811
96,3,0.104306
96,4,0.010764
96,5,0.112255
96,6,0.041615
96,7,0.078570
96,8,0.058607
96,9,0.188892
